name,mA,aA,mB,aB,mC,aC
96,NA,NA,7175.17146218487,239.775092436975,NA,NA
97,NA,NA,7174.91791596639,239.800605042017,NA,NA
98,NA,NA,7174.85794957983,239.799764705882,NA,NA
99,NA,NA,7175.18181512605,239.775226890756,NA,NA
100,NA,NA,7174.88278991597,239.799899159664,NA,NA
101,NA,NA,7174.89368067227,239.800033613445,NA,NA
102,7183.03045378151,-0.154218487394958,7179.53647058824,239.868302521008,7177.98309243697,119.810890756303
103,7182.84857142857,-0.155899159663866,7179.32709243697,239.865714285714,7177.8552605042,119.806588235294
104,NA,NA,7176.52702521008,239.818588235294,NA,NA
105,NA,NA,7176.37317647059,239.817243697479,NA,NA
106,NA,NA,7175.18847058823,239.775260504202,NA,NA
107,NA,NA,7175.17226890756,239.77512605042,NA,NA
108,NA,NA,7174.91509243698,239.800470588235,NA,NA
109,7177.74087394958,-0.188705882352941,7175.72057142857,239.783630252101,7177.95435294118,119.771697478992
110,7181.86389915966,-0.193008403361345,7178.1491092437,239.866991596639,7172.63899159664,119.746924369748
111,7181.81048739496,-0.196,7178.15623529412,239.867428571429,7172.37072268908,119.744773109244
112,7177.22752941176,-0.195764705882353,7175.26924369748,239.776201680672,7177.5796302521,119.765613445378
113,7177.17791596639,-0.196504201680672,7175.19075630252,239.775327731092,7177.53368067227,119.764504201681
114,NA,NA,7174.93872268908,239.800840336134,NA,NA
115,7181.90383193277,-0.19163025210084,7178.13442016807,239.866756302521,7172.76245378151,119.747831932773
116,7177.28638655462,-0.195126050420168,7175.36662184874,239.77774789916,7177.63979831933,119.766857142857
117,NA,NA,7175.10722689076,239.803226890756,NA,NA
118,NA,NA,7174.97018487395,239.801176470588,NA,NA
119,NA,NA,7175.21667226891,239.804403361345,NA,NA
120,7177.18554621849,-0.197781512605042,NA,NA,NA,NA
121,7177.1571092437,-0.198050420168067,NA,NA,NA,NA
122,NA,NA,7174.96487394958,239.801075630252,NA,NA
123,7181.47519327731,-0.202890756302521,NA,NA,NA,NA
124,NA,NA,7174.96961344538,239.801142857143,NA,NA
125,7177.27166386555,-0.196571428571429,NA,NA,NA,NA
126,7181.75875630252,-0.198823529411765,7178.15825210084,239.868067226891,7172.09751260504,119.741445378151
127,7181.78413445378,-0.199260504201681,7178.12020168067,239.868268907563,7171.98692436975,119.740100840336
128,7177.14477310924,-0.197210084033613,7175.14272268908,239.774823529412,7177.47152941177,119.763630252101
129,NA,NA,7175.68608403361,239.78181512605,NA,NA
130,NA,NA,7175.63862184874,239.78137815126,NA,NA
131,7176.64285714286,-0.206890756302521,7174.53519327731,239.769680672269,7176.77569747899,119.752605042017
132,7176.62591596639,-0.207394957983193,7174.51831932773,239.769613445378,7176.76131092437,119.752235294118
133,7179.55078991597,-0.171663865546218,7176.26272268908,239.806957983193,7178.17257142857,119.778621848739
134,7179.40057142857,-0.172470588235294,7176.19011764706,239.804201680672,7178.1668907563,119.777714285714
135,7186.53731092437,-0.105714285714286,7182.97186554622,239.900067226891,7180.59559663866,119.872840336134
136,7185.98292436975,-0.113008403361345,7182.43025210084,239.89818487395,7180.1487394958,119.862554621849
137,7179.71946218487,-0.171025210084034,7176.35005042017,239.810151260504,7178.16789915966,119.779428571429
138,7177.33878991597,-0.195394957983193,NA,NA,NA,NA
139,7181.64789915966,-0.20053781512605,NA,NA,NA,NA
140,7178.61300840336,-0.177176470588235,NA,NA,NA,NA
141,7181.67895798319,-0.2,NA,NA,NA,NA
142,7181.74127731092,-0.199126050420168,NA,NA,NA,NA
143,7178.73018487395,-0.177579831932773,7175.89304201681,239.793411764706,7178.2301512605,119.774722689076
144,7178.68047058824,-0.17727731092437,7175.83512605042,239.792201680672,7178.28494117647,119.774588235294
145,7181.80722689076,-0.199563025210084,7178.08349579832,239.868403361345,7171.88376470588,119.73868907563
