name,mA,aA,mB,aB,mC,aC
30057,2.21519327731092,-33.6093445378151,2.24299159663866,206.389411764706,2.45932773109244,86.1750924369748
30058,5.74127731092437,-19.9535462184874,6.74924369747899,219.970991596639,6.88712605042017,98.1440672268908
30059,0.340100840336134,-19.861243697479,NA,NA,NA,NA
30060,NA,NA,2.99838655462185,212.746016806723,NA,NA
30061,NA,NA,NA,NA,3.25542857142857,88.0023193277311
30062,NA,NA,2.56047058823529,220.124302521008,NA,NA
30063,0.77072268907563,-26.6687058823529,0.782252100840336,213.302722689076,0.855697478991597,93.2172773109244
30064,NA,NA,2.56047058823529,220.124302521008,NA,NA
30065,0.77072268907563,-26.6687058823529,0.782252100840336,213.302722689076,0.855697478991597,93.2172773109244
30066,NA,NA,0.355294117647059,221.039327731092,NA,NA
30067,NA,NA,3.78628571428571,219.324470588235,NA,NA
30068,NA,NA,0.355294117647059,221.039327731092,NA,NA
30069,NA,NA,0.769344537815126,220.632907563025,NA,NA
30070,34.6252773109244,-21.812974789916,40.838218487395,217.621882352941,40.5927394957983,96.5054117647059
30071,NA,NA,12.3254789915966,217.632840336134,NA,NA
30072,NA,NA,1.42161344537815,219.790319327731,NA,NA
30073,NA,NA,1.65546218487395,220.493411764706,NA,NA
30074,13.4153613445378,-19.9618487394958,9.90252100840336,220.219596638655,7.23626890756303,98.2909915966387
30075,7.18712605042017,-23.2042016806723,1.9133781512605,213.227630252101,9.31216806722689,96.044268907563
30076,4.9213781512605,-20.0502521008403,6.74924369747899,219.970991596639,6.7455462184874,98.0858151260504
30077,NA,NA,1.65546218487395,220.493411764706,NA,NA
30078,8.45361344537815,-23.3335798319328,1.9133781512605,213.227630252101,9.31216806722689,96.044268907563
30079,4.9213781512605,-20.0502521008403,6.74924369747899,219.970991596639,6.88712605042017,98.1440672268908
30080,NA,NA,5.69788235294118,219.683495798319,NA,NA
30081,5.06336134453781,-20.0210084033613,6.74924369747899,219.970991596639,6.88712605042017,98.1440672268908
30082,NA,NA,6.13166386554622,219.776100840336,NA,NA
30083,1.98157983193277,-19.7388571428571,NA,NA,NA,NA
30084,NA,NA,3.78628571428571,219.324470588235,NA,NA
30085,6.97068907563025,-19.9725714285714,6.74924369747899,219.970991596639,7.23626890756303,98.2909915966387
30086,NA,NA,12.3254789915966,217.632840336134,NA,NA
30087,NA,NA,1.91250420168067,220.472336134454,NA,NA
30088,3.97324369747899,-19.4617478991597,NA,NA,NA,NA
30089,2.85052100840336,-27.3349915966387,1.9133781512605,213.227630252101,9.31216806722689,96.044268907563
30090,6.94816806722689,-23.3164705882353,1.9133781512605,213.227630252101,9.31216806722689,96.044268907563
30091,4.9213781512605,-20.0502521008403,4.97126050420168,220.014857142857,6.7455462184874,98.0858151260504
30092,NA,NA,3.15391596638655,220.772134453782,NA,NA
30093,NA,NA,3.15391596638655,220.772134453782,NA,NA
30094,2.28252100840336,-19.0310588235294,2.31442016806723,220.940470588235,2.52531092436975,100.86174789916
30095,15.8158655462185,-20.2811764705882,18.0866554621849,219.384369747899,11.6380504201681,97.9471596638655
30096,58.7906218487395,-26.0260504201681,63.8191260504202,214.061512605042,65.3295462184874,93.0396302521008
30097,15.8158655462185,-20.2811764705882,19.2538487394958,219.460504201681,11.6380504201681,97.9471596638655
30098,1.81156302521008,-20.6797983193277,NA,NA,NA,NA
30099,3.13771428571429,-19.5433613445378,NA,NA,NA,NA
30100,0.426588235294118,-18.8808739495798,NA,NA,NA,NA
30101,3.13771428571429,-19.5433613445378,NA,NA,NA,NA
30102,4.10944537815126,-20.3604033613445,NA,NA,NA,NA
30103,1.63273949579832,-19.7359663865546,5.44631932773109,218.16487394958,0.821882352941177,100.834789915966
30104,2.85052100840336,-27.3349915966387,1.9133781512605,213.227630252101,9.31216806722689,96.044268907563
30105,13.4153613445378,-19.9618487394958,11.8657142857143,220.361714285714,7.23626890756303,98.2909915966387
30106,12.0581848739496,-22.4293781512605,1.9133781512605,213.227630252101,22.2947899159664,97.7776470588235
30107,15.8158655462185,-20.2811764705882,18.0866554621849,219.384369747899,10.5255462184874,97.6183193277311
30108,12.0581848739496,-22.4293781512605,1.9133781512605,213.227630252101,22.2947899159664,97.7776470588235
30109,NA,NA,0.805882352941176,220.59243697479,NA,NA
30110,19.3419159663866,-20.3303865546218,37.0916302521008,218.282756302521,12.7776806722689,97.659025210084
30111,34.6252773109244,-21.812974789916,40.838218487395,217.621882352941,40.5927394957983,96.5054117647059
30112,12.1213445378151,-22.4762352941176,1.97936134453782,213.076739495798,22.9675966386555,97.6232941176471
30113,NA,NA,1.16810084033613,220.725445378151,NA,NA
30114,19.3419159663866,-20.3303865546218,37.7490420168067,218.194521008403,12.7776806722689,97.659025210084
30115,13.2362352941176,-22.5612773109244,1.97936134453782,213.076739495798,22.9675966386555,97.6232941176471
30116,NA,NA,3.78628571428571,219.324470588235,NA,NA
30117,0.426588235294118,-18.8808739495798,NA,NA,NA,NA
30118,NA,NA,NA,NA,0.537613445378151,100.901680672269
30119,13.4153613445378,-19.9618487394958,10.6126722689076,220.288302521008,7.23626890756303,98.2909915966387
30120,2.40013445378151,-20.5902521008403,NA,NA,NA,NA
30121,3.52561344537815,-20.4017478991597,NA,NA,NA,NA
30122,3.52561344537815,-20.4017478991597,NA,NA,NA,NA
